"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D64,D53,D49,D45,D11,D8,D25,D28,D54,D6,D10,D20,D61,D13,D21,D40,D29,D7,D3,D33,D41,D23,D38,D1,D4,D22,D31,D34,D30,D5,D26,D63,D42,D9,D44,D14,D59,D47,D12,D51,D18,D60,D16,D39,D46,D50,D48,D35,D57,D55,D17,D15,D58,D56,D2,D19,D65,D52,D27,D43,D36,D32,D24,D37,D62";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";65;"NEOPIXEL_SMT";;;
2;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
3;"C41,C61,C43,C40,C59,C65,C57,C66,C54,C47,C53,C60,C52,C45,C64,C50,C62,C51,C70,C58,C46,C7,C71,C69,C5,C67,C48,C39,C44,C42,C56,C1,C49,C63,C55,C3,C68,C72,C38";"C_0805_2012Metric";39;"C_0805_0.1uf";;;
4;"R4,R1,R5,R2,R3";"R_0805_2012Metric";5;"R_0805_10K";;;
5;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
6;"TP11,TP13,TP4,TP15,TP5,TP2,TP8,TP1,TP14,TP3,TP12,TP6,TP7";"TestPoint_THTPad_D2.0mm_Drill1.0mm";13;"TestPoint";;;
7;"R8";"R_0805_2012Metric";1;"R_0805_2.2K";;;
8;"R9";"R_0805_2012Metric";1;"R_0805_1K";;;
9;"SW4,SW2,SW1,SW5,SW3";"SW_SPST_Omron_B3FS-100xP";5;"Omron_B3F_SPST";;;
10;"D66,D100";"LED_0805_2012Metric";2;"LED_0805";;;
11;"C6,C4";"C_0805_2012Metric";2;"C_0805_22pf";;;
12;"R10,R11";"R_0805_2012Metric";2;"R_0805_4.7K";;;
13;"R6,R7";"R_0805_2012Metric";2;"R_0805_47";;;
14;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
15;"U4";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
16;"U1";"TO-252-2";1;"L7805";;;
17;"U3";"Vishay_MINICAST-3Pin_Horiz";1;"TSOP38238_Horiz";;;
18;"U2";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
19;"C2";"C_0805_2012Metric";1;"C_0805_1uf";;;
20;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
21;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
22;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
23;"J1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
